Position,Expression
4.18125,0.00787402
4.18646,0.015748
4.20417,0.023622
4.21042,0.0314961
4.22187,0.0393701
4.22708,0.0472441
4.24479,0.0551181
4.25104,0.0629921
4.2625,0.0708661
4.27396,0.0787402
4.28542,0.0866142
4.29688,0.0944882
4.31458,0.102362
4.32604,0.110236
4.34375,0.11811
4.35521,0.125984
4.37812,0.133858
4.38438,0.141732
4.40729,0.149606
4.41875,0.15748
4.45937,0.165354
4.47083,0.173228
4.54688,0.181102
4.55833,0.173228
4.65104,0.15748
4.65729,0.165354
4.6625,0.15748
4.67396,0.165354
4.68021,0.15748
4.76146,0.149606
4.76771,0.15748
4.77292,0.141732
4.77917,0.149606
4.79063,0.141732
4.91771,0.149606
4.92396,0.141732
4.99375,0.149606
5.01146,0.15748
5.01667,0.149606
5.02292,0.15748
5.13854,0.165354
5.15,0.15748
5.15625,0.173228
5.16146,0.165354
5.17396,0.15748
5.17917,0.173228
5.18542,0.165354
5.19062,0.173228
5.33021,0.181102
5.35938,0.188976
5.36562,0.181102
5.38229,0.188976
5.53333,0.19685
5.53958,0.188976
5.56875,0.19685
5.57396,0.188976
5.58542,0.19685
5.60938,0.188976
5.61458,0.19685
5.62083,0.188976
5.62604,0.19685
5.64375,0.204724
5.725,0.19685
5.73125,0.204724
5.79479,0.212598
5.81771,0.204724
5.82396,0.212598
5.83542,0.220472
5.85313,0.212598
5.85833,0.220472
5.86979,0.212598
5.87604,0.220472
5.8875,0.212598
5.89375,0.220472
5.90521,0.212598
5.93958,0.220472
5.94583,0.212598
5.95104,0.220472
5.975,0.212598
5.98646,0.220472
6.07292,0.212598
6.08542,0.220472
6.09063,0.212598
6.10208,0.204724
6.10833,0.220472
6.12604,0.212598
6.13125,0.220472
6.21875,0.212598
6.23542,0.204724
6.24167,0.212598
6.26458,0.220472
6.27083,0.212598
6.28229,0.220472
6.29375,0.212598
6.3,0.220472
6.31146,0.204724
6.31667,0.220472
6.32292,0.212598
6.32917,0.204724
6.33437,0.212598
6.35729,0.220472
6.38125,0.212598
6.38646,0.220472
6.39271,0.212598
6.39792,0.204724
6.41042,0.212598
6.41563,0.204724
6.42188,0.212598
6.43333,0.204724
6.4625,0.212598
6.46771,0.204724
6.50312,0.212598
6.50833,0.204724
6.5375,0.212598
6.54375,0.204724
6.56146,0.212598
6.57292,0.204724
6.57812,0.212598
6.58437,0.204724
6.58958,0.212598
6.61354,0.220472
6.68854,0.23622
6.69479,0.228346
6.7,0.23622
6.75833,0.244094
6.76979,0.251969
6.79896,0.259843
6.80521,0.267717
6.81042,0.275591
6.81667,0.283465
6.83333,0.299213
6.85729,0.314961
6.86875,0.322835
6.87396,0.330709
6.88646,0.338583
6.89167,0.346457
6.90313,0.354331
6.90937,0.362205
6.92083,0.370079
6.92708,0.377953
6.93854,0.385827
6.94375,0.393701
6.96146,0.401575
6.96771,0.393701
6.97292,0.409449
6.99062,0.417323
7.00208,0.425197
7.0375,0.433071
7.04896,0.440945
7.14167,0.448819
7.14687,0.440945
7.16458,0.456693
7.17083,0.448819
7.17604,0.456693
7.18229,0.464567
7.1875,0.472441
7.2,0.464567
7.20521,0.472441
7.26979,0.480315
7.28646,0.472441
7.29271,0.480315
7.30417,0.488189
7.35,0.472441
7.35625,0.480315
7.36771,0.488189
7.38542,0.480315
7.39687,0.472441
7.45521,0.480315
7.46667,0.488189
7.48958,0.496063
7.49583,0.488189
7.50104,0.503937
7.53021,0.511811
7.53646,0.519685
7.55312,0.527559
7.57083,0.535433
7.59479,0.543307
7.60625,0.551181
7.61146,0.535433
7.61771,0.551181
7.64062,0.559055
7.65208,0.566929
7.69271,0.574803
7.69896,0.582677
7.71042,0.590551
7.71667,0.598425
7.73958,0.606299
7.74479,0.614173
7.79792,0.622047
7.80312,0.629921
7.925,0.637795
7.93646,0.645669
7.94271,0.637795
7.95417,0.629921
7.97708,0.614173
7.98958,0.598425
8.00104,0.582677
8.00625,0.551181
8.01771,0.535433
8.02396,0.503937
8.03021,0.488189
8.03542,0.440945
8.04167,0.425197
8.04688,0.393701
8.05312,0.377953
8.05937,0.362205
8.06458,0.330709
8.07083,0.299213
8.07604,0.283465
8.08229,0.251969
8.0875,0.220472
8.09375,0.188976
8.1,0.173228
8.10521,0.141732
8.11146,0.110236
8.11667,0.0944882
8.12292,0.0629921
8.12813,0.0314961
8.13438,0
