Position,Expression
0,4
0.040404,13
0.080808,17
0.121212,20
0.161616,22
0.20202,23
0.242424,24
0.363636,25
0.40404,24
0.484848,23
0.525252,22
0.80808,23
0.929292,24
1.0101,25
1.09091,26
1.17172,27
1.25252,28
1.29293,29
1.37374,30
1.49495,31
1.53535,32
1.61616,33
1.65656,34
1.69697,35
1.77778,36
1.85858,37
1.89899,38
1.9798,39
2.06061,40
2.10101,41
2.18182,42
2.22222,43
2.26263,44
2.30303,45
2.34344,46
2.38384,48
2.42424,49
2.46465,51
2.50505,52
2.54546,54
2.58586,56
2.62626,57
2.66667,59
2.70707,60
2.74748,62
2.78788,64
2.82828,66
2.86869,68
2.90909,69
2.9495,71
2.9899,73
3.0303,75
3.07071,77
3.11111,79
3.15152,82
3.19192,84
3.23232,87
3.27273,89
3.31313,93
3.35354,95
3.39394,99
3.43434,102
3.47475,106
3.51515,109
3.55556,111
3.59596,112
3.63636,113
3.75758,114
3.83838,113
3.87879,112
3.91919,110
3.9596,105
4,0
