Position,Expression
3.94792,0.00787402
3.95417,0.0314961
3.95938,0.0393701
3.96563,0.0472441
3.97083,0.0551181
3.97708,0.0708661
3.98854,0.0787402
3.99479,0.0866142
4,0.0944882
4.01146,0.102362
4.01771,0.110236
4.02917,0.11811
4.03542,0.125984
4.05208,0.133858
4.06458,0.141732
4.0875,0.149606
4.09271,0.15748
4.11667,0.165354
4.12188,0.173228
4.14583,0.181102
4.15104,0.188976
4.17396,0.19685
4.19167,0.204724
4.20312,0.212598
4.20937,0.204724
4.21458,0.212598
4.22083,0.220472
4.22708,0.212598
4.23229,0.220472
4.30208,0.228346
4.31354,0.23622
4.45312,0.228346
4.45937,0.220472
4.51146,0.204724
4.51667,0.212598
4.52292,0.204724
4.85938,0.19685
4.86562,0.204724
4.91771,0.212598
4.92292,0.220472
4.975,0.228346
4.99896,0.23622
5.08542,0.244094
5.09167,0.23622
5.09792,0.244094
5.10313,0.251969
5.10938,0.23622
5.11458,0.251969
5.24271,0.259843
5.24896,0.267717
5.30104,0.275591
5.30625,0.267717
5.3125,0.283465
5.43438,0.291339
5.43958,0.283465
5.44583,0.299213
5.45104,0.291339
5.46354,0.299213
5.56146,0.307087
5.57917,0.314961
5.58542,0.307087
5.59063,0.314961
5.66042,0.322835
5.66667,0.330709
5.74167,0.338583
5.75312,0.330709
5.75938,0.346457
5.82292,0.354331
5.82917,0.346457
5.84063,0.354331
5.85833,0.362205
5.875,0.354331
5.88125,0.362205
5.9625,0.370079
5.96875,0.377953
5.99688,0.370079
6.00312,0.377953
6.08437,0.385827
6.09583,0.377953
6.10208,0.385827
6.11354,0.393701
6.11875,0.377953
6.125,0.385827
6.13125,0.377953
6.13646,0.385827
6.14271,0.393701
6.14792,0.385827
6.15417,0.377953
6.15937,0.385827
6.16563,0.393701
6.17188,0.377953
6.17708,0.385827
6.19479,0.393701
6.2,0.385827
6.20625,0.393701
6.31667,0.401575
6.32188,0.393701
6.32812,0.401575
6.33333,0.393701
6.33958,0.409449
6.34583,0.401575
6.3625,0.393701
6.36875,0.401575
6.38021,0.409449
6.44375,0.417323
6.45,0.409449
6.45625,0.417323
6.47292,0.425197
6.56667,0.433071
6.57188,0.440945
6.6125,0.456693
6.61875,0.464567
6.63542,0.472441
6.65313,0.480315
6.66458,0.488189
6.70521,0.496063
6.71146,0.503937
6.75729,0.511811
6.76354,0.519685
6.80417,0.527559
6.81042,0.535433
6.85625,0.543307
6.8625,0.551181
6.90313,0.559055
6.91458,0.566929
6.94375,0.574803
6.94896,0.582677
6.96042,0.590551
6.97292,0.598425
6.98958,0.606299
6.99583,0.614173
7.01354,0.622047
7.03021,0.629921
7.06562,0.645669
7.11771,0.653543
7.12292,0.661417
7.16979,0.677165
7.21667,0.685039
7.22187,0.692913
7.25729,0.708661
7.29792,0.716535
7.30312,0.708661
7.30938,0.716535
7.31458,0.724409
7.35,0.732283
7.35521,0.740157
7.39687,0.755906
7.425,0.771654
7.46042,0.779528
7.46563,0.787402
7.50104,0.795276
7.5125,0.80315
7.53542,0.811024
7.54167,0.818898
7.56458,0.826772
7.57083,0.834646
7.59375,0.84252
7.59896,0.850394
7.61146,0.858268
7.62292,0.866142
7.64062,0.874016
7.64583,0.88189
7.66875,0.897638
7.69271,0.905512
7.69792,0.913386
7.70937,0.92126
7.71563,0.929134
7.74479,0.937008
7.75,0.944882
7.77917,0.96063
7.79063,0.976378
7.80312,0.984252
7.80833,0.992126
7.81979,1
8.36042,0.826772
8.36562,0.291339
8.37187,0
