Position,Expression
0,0.031254
0.010101,0.104677
0.020202,0.146224
0.030303,0.173372
0.040404,0.193749
0.0505051,0.210018
0.0606061,0.221756
0.0707071,0.229297
0.0808081,0.23732
0.0909091,0.242994
0.10101,0.239876
0.111111,0.233565
0.121212,0.224155
0.131313,0.21252
0.141414,0.203561
0.151515,0.195996
0.161616,0.188494
0.171717,0.181029
0.181818,0.175273
0.191919,0.17165
0.20202,0.167245
0.212121,0.164064
0.222222,0.160972
0.232323,0.159059
0.242424,0.158008
0.252525,0.159627
0.262626,0.161419
0.272727,0.16337
0.282828,0.164781
0.292929,0.167981
0.30303,0.171676
0.313131,0.176613
0.323232,0.179494
0.333333,0.182009
0.343434,0.184831
0.353535,0.188399
0.363636,0.191805
0.373737,0.194321
0.383838,0.197954
0.393939,0.201269
0.40404,0.204737
0.414141,0.210753
0.424242,0.21417
0.434343,0.216711
0.444444,0.217577
0.454545,0.220737
0.464646,0.223707
0.474747,0.226055
0.484848,0.228898
0.494949,0.232457
0.505051,0.237033
0.515152,0.237705
0.525253,0.24269
0.535354,0.244579
0.545455,0.246984
0.555556,0.25072
0.565657,0.252461
0.575758,0.260556
0.585859,0.266225
0.59596,0.271824
0.606061,0.275554
0.616162,0.286988
0.626263,0.295687
0.636364,0.305056
0.646465,0.309838
0.656566,0.317067
0.666667,0.327594
0.676768,0.336379
0.686869,0.348546
0.69697,0.359446
0.707071,0.372525
0.717172,0.381939
0.727273,0.391672
0.737374,0.401166
0.747475,0.410805
0.757576,0.423468
0.767677,0.434538
0.777778,0.44318
0.787879,0.456742
0.79798,0.469922
0.808081,0.483526
0.818182,0.500045
0.828283,0.513557
0.838384,0.527707
0.848485,0.54375
0.858586,0.559442
0.868687,0.57514
0.878788,0.596884
0.888889,0.619773
0.89899,0.647762
0.909091,0.677689
0.919192,0.712321
0.929293,0.75704
0.939394,0.828638
0.949495,0.892525
0.959596,0.909782
0.969697,0.923523
0.979798,0.881732
0.989899,0.695582
1,2.658e-07
