Position,Expression
3.97812,0.00787402
3.98438,0.023622
3.98958,0.0314961
3.99583,0.0393701
4.00208,0.0472441
4.01354,0.0551181
4.01875,0.0629921
4.03125,0.0708661
4.03646,0.0787402
4.04271,0.0866142
4.04792,0.0944882
4.06562,0.102362
4.07083,0.110236
4.10625,0.11811
4.1125,0.110236
4.11771,0.11811
4.12396,0.125984
4.12917,0.11811
4.14062,0.110236
4.14687,0.125984
4.33229,0.133858
4.34375,0.141732
4.60521,0.125984
4.61146,0.133858
4.62292,0.125984
4.64062,0.133858
4.64583,0.125984
4.81458,0.133858
4.81979,0.125984
4.83229,0.133858
4.8375,0.125984
4.84896,0.133858
4.86667,0.141732
4.87292,0.125984
4.88438,0.133858
4.90104,0.141732
4.91354,0.133858
4.91875,0.141732
5.02917,0.149606
5.04063,0.141732
5.06458,0.149606
5.0875,0.15748
5.09271,0.149606
5.10521,0.15748
5.11042,0.141732
5.11667,0.149606
5.13333,0.141732
5.13958,0.149606
5.15104,0.141732
5.15729,0.149606
5.1625,0.15748
5.18646,0.149606
5.19792,0.15748
5.63854,0.165354
5.65625,0.173228
5.71458,0.181102
5.72604,0.188976
5.73125,0.181102
5.7375,0.188976
5.76042,0.173228
5.77187,0.188976
5.89375,0.19685
5.91146,0.204724
5.9875,0.212598
5.99271,0.220472
6.08021,0.228346
6.08542,0.220472
6.09792,0.228346
6.12083,0.23622
6.26042,0.244094
6.27187,0.23622
6.28854,0.244094
6.30104,0.23622
6.30625,0.244094
6.32396,0.23622
6.33542,0.244094
6.34687,0.23622
6.39896,0.244094
6.40521,0.23622
6.43438,0.244094
6.43958,0.23622
6.45729,0.244094
6.46354,0.23622
6.49167,0.244094
6.51562,0.23622
6.52083,0.244094
6.52708,0.251969
6.62604,0.259843
6.63229,0.251969
6.66667,0.259843
6.67812,0.267717
6.68333,0.259843
6.68958,0.267717
6.70729,0.259843
6.7125,0.267717
6.77708,0.275591
6.78229,0.283465
7.00833,0.291339
7.01458,0.283465
7.06146,0.291339
7.06667,0.283465
7.07812,0.291339
7.08958,0.283465
7.09583,0.291339
7.10729,0.299213
7.25833,0.314961
7.33333,0.322835
7.35104,0.330709
7.38021,0.338583
7.39167,0.346457
7.42708,0.354331
7.43229,0.346457
7.43854,0.354331
7.44375,0.362205
7.51979,0.370079
7.53125,0.377953
7.57188,0.385827
7.58333,0.393701
7.63021,0.401575
7.64687,0.409449
7.68854,0.425197
7.72292,0.433071
7.74062,0.440945
7.75208,0.464567
7.75729,0.472441
7.775,0.480315
7.78125,0.488189
7.79792,0.496063
7.81042,0.503937
7.83333,0.511811
7.83854,0.503937
7.84479,0.511811
7.85,0.519685
7.8625,0.527559
7.87396,0.535433
7.88542,0.543307
7.89062,0.535433
7.90313,0.543307
7.90833,0.535433
7.91458,0.543307
7.92604,0.551181
7.96042,0.535433
7.97292,0.519685
7.97813,0.503937
7.98438,0.488189
7.98958,0.472441
7.99583,0.425197
8.00104,0.409449
8.00729,0.377953
8.0125,0.330709
8.01875,0.299213
8.025,0.251969
8.03021,0.204724
8.03646,0.15748
8.04167,0.110236
8.04792,0.0629921
8.05417,0.015748
8.05937,0
