NominalPosition,DeltaPosition,DurationRatio,VelocityDelta
4.00000,1466.14792,0.54583,-0.08661
5.00000,1466.08542,0.76042,-0.14173
6.00000,1466.10833,0.60000,0.07874
7.00000,1466.07500,0.70833,0.02362
8.00000,1466.08542,0.64375,-0.06299
9.00000,1466.05208,0.71458,-0.11024
10.00000,1466.10833,0.71458,-0.11024
11.00000,1466.10625,0.82292,-0.03150
12.00000,1466.13333,0.75833,-0.03150
13.00000,1466.03750,0.83750,-0.25197
14.00000,1466.08750,0.65625,-0.06299
15.00000,1466.09792,0.80208,0.07087
16.00000,1466.14167,0.77708,0.08661
17.00000,1466.12292,0.77917,0.04724
18.00000,1466.12083,0.78125,0.07087
19.00000,1466.14167,0.73958,0.16535
20.00000,1466.11667,0.77917,0.19685
21.00000,1466.12292,0.76458,-0.03150
22.00000,1466.17500,0.66667,-0.19685
23.00000,1466.15625,0.77500,0.10236
24.00000,1466.14167,0.77083,0.02362
25.00000,1466.12500,0.83958,0.03937
26.00000,1466.16250,0.71250,0.03150
27.00000,1466.13333,0.76458,0.01575
28.00000,1466.15208,0.79583,0.09449
29.00000,1466.15625,0.76250,0.09449
30.00000,1466.16250,0.65833,0.01575
31.00000,1466.12917,0.77708,0.10236
32.00000,1466.16875,0.78542,0.13386
33.00000,1466.17292,0.70417,0.19685
34.00000,1466.13750,0.73125,0.02362
35.00000,1466.15208,0.69375,0.11811
36.00000,1466.12292,0.74375,0.10236
37.00000,1466.09375,0.72708,0.06299
38.00000,1466.14167,0.75000,0.05512
39.00000,1466.12292,0.69583,0.02362
40.00000,1466.07708,0.78333,-0.03150
41.00000,1466.08125,0.82292,0.06299
42.00000,1466.11875,0.68750,-0.03937
43.00000,1466.08125,0.75208,0.18110
44.00000,1466.15833,0.62292,0.09449
45.00000,1466.03750,0.83333,0.00000
46.00000,1466.10417,0.72083,0.20472
47.00000,1466.11042,0.70208,0.03937
48.00000,1466.07708,0.79167,0.14173
49.00000,1466.11458,0.84375,0.10236
50.00000,1466.18750,0.70833,0.22047
